TicketID,CustomerID,IssueType,Priority,ResolutionDays,Resolved
T000068,C040432,Feature,Medium,15,No
T000069,C001330,Feature,High,10,No
T000070,C000890,Feature,Medium,5,No
T000071,C047043,Billing,Low,14,No
T000072,C005255,Billing,High,8,Yes
T000073,C027756,Bug,High,10,No
T000074,C017845,Cancellation,Medium,3,Yes
T000075,C010259,Cancellation,High,14,Yes
T000076,C011553,Login,Medium,4,Yes
T000077,C001588,Billing,Medium,7,No
T000078,C007969,Login,High,2,Yes
T000079,C033954,Cancellation,High,0,Yes
T000080,C022768,Login,Low,6,No
T000081,C044950,Bug,Medium,13,No
T000082,C023406,Feature,Low,3,No
T000083,C006662,Cancellation,Medium,14,No
T000084,C028071,Billing,Medium,10,No
T000085,C034803,Billing,Medium,3,Yes
T000086,C030464,Billing,Low,13,No
T000087,C011546,Bug,High,14,No
T000088,C015155,Cancellation,High,6,Yes
T000089,C030247,Feature,Medium,9,No
T000090,C009436,Login,Medium,9,No
T000091,C029980,Cancellation,Low,2,Yes
T000092,C046152,Bug,Low,8,Yes
T000093,C047067,Login,Low,0,Yes
T000094,C015019,Feature,High,10,No
T000095,C013793,Bug,Low,0,No
T000096,C003760,Feature,Low,0,Yes
T000097,C007431,Feature,Low,1,Yes
T000098,C008980,Login,Medium,9,Yes
T000099,C013727,Cancellation,High,10,No
T000100,C020287,Cancellation,High,7,Yes
T000101,C006330,Feature,High,3,No
T000102,C027383,Feature,Medium,3,Yes
T000103,C034896,Billing,High,11,Yes
T000104,C000643,Billing,Medium,15,No
T000105,C043886,Login,Low,3,Yes
T000106,C012748,Login,Low,13,Yes
T000107,C041883,Cancellation,High,11,Yes
T000108,C007350,Billing,High,3,No
T000109,C028716,Login,Medium,3,No
T000110,C044113,Billing,Medium,12,Yes
T000111,C015439,Bug,Medium,6,No
T000112,C005033,Feature,Low,1,No
T000113,C007680,Cancellation,Medium,4,Yes
T000114,C027446,Feature,Low,5,No
T000115,C000352,Billing,High,8,No
T000116,C013997,Login,High,8,Yes
T000117,C023445,Billing,Low,6,Yes
T000118,C007583,Cancellation,High,6,No
T000119,C013534,Bug,Medium,3,No
T000120,C012066,Billing,High,9,No
T000121,C017529,Cancellation,Medium,3,Yes
T000122,C048596,Login,Low,10,Yes
T000123,C021380,Cancellation,Low,7,Yes
T000124,C020710,Cancellation,Low,13,No
T000125,C026685,Cancellation,High,0,No
T000126,C041779,Login,Medium,4,No
T000127,C029031,Bug,High,7,Yes
T000128,C017738,Login,High,3,Yes
T000129,C015398,Feature,Medium,1,No
T000130,C046583,Billing,High,12,Yes
T000131,C040950,Billing,High,10,No
T000132,C037126,Feature,Medium,13,No
T000133,C048706,Billing,Medium,5,Yes
T000134,C029987,Login,Low,2,Yes
T000135,C042727,Billing,Medium,2,No
T000136,C026380,Billing,Medium,14,No
T000137,C003517,Cancellation,Medium,11,Yes
T000138,C006740,Cancellation,High,10,Yes
T000139,C028557,Billing,Low,5,No
T000140,C044419,Billing,Low,3,Yes
T000141,C004303,Bug,High,5,Yes
T000142,C037272,Feature,High,10,Yes
T000143,C018495,Login,Medium,13,No
T000144,C012998,Billing,Medium,3,No
T000145,C016944,Feature,High,10,No
T000146,C020893,Cancellation,Medium,1,Yes
T000147,C037254,Bug,Medium,5,Yes
T000148,C012870,Billing,Medium,4,No
T000149,C039387,Billing,Low,11,No
T000150,C042308,Feature,High,9,Yes
T000151,C012727,Feature,Low,14,Yes
T000152,C042992,Feature,Low,7,No
T000153,C008100,Feature,Low,10,Yes
T000154,C040416,Billing,High,1,Yes
T000155,C000943,Billing,High,6,Yes
T000156,C048667,Bug,High,15,No
T000157,C000300,Billing,Low,7,No
T000158,C044297,Bug,High,2,Yes
T000159,C040753,Feature,Low,15,Yes
T000160,C024089,Login,Medium,0,No
T000161,C033434,Login,Low,8,Yes
T000162,C028706,Feature,Low,15,Yes
T000163,C021272,Login,High,15,No
T000164,C041483,Cancellation,Medium,11,Yes
T000165,C045535,Billing,High,11,No
T000166,C006537,Login,High,11,Yes
T000167,C035806,Login,Low,7,No
T000168,C047823,Login,Medium,0,No
T000169,C005614,Login,Medium,14,Yes
T000170,C033995,Cancellation,Low,11,Yes
T000171,C033540,Feature,High,0,No
T000172,C002954,Feature,Medium,10,Yes
T000173,C032165,Cancellation,Medium,1,No
T000174,C007297,Bug,Medium,7,Yes
T000175,C013793,Billing,Low,8,Yes
T000176,C028845,Billing,Medium,2,Yes
T000177,C027006,Cancellation,Low,6,No
T000178,C027512,Login,Low,7,No
T000179,C032893,Login,Low,2,Yes
T000180,C020489,Feature,Medium,11,Yes
T000181,C000965,Cancellation,Medium,2,No
T000182,C022948,Login,Medium,8,Yes
T000183,C049978,Cancellation,Low,1,Yes
T000184,C009766,Feature,Medium,1,Yes
T000185,C015841,Bug,Low,15,Yes
T000186,C022252,Bug,Low,15,Yes
T000187,C021864,Bug,High,0,No
T000188,C029092,Feature,High,15,Yes
T000189,C014903,Cancellation,Medium,13,No
T000190,C012255,Bug,Low,2,No
T000191,C047466,Cancellation,Low,6,No
T000192,C029173,Login,Medium,8,No
T000193,C031468,Login,High,0,Yes
T000194,C037363,Login,Low,15,Yes
T000195,C042720,Billing,Medium,9,No
T000196,C015068,Feature,Low,10,No
T000197,C045412,Login,High,1,No
T000198,C048439,Billing,Low,9,No
T000199,C022970,Feature,High,5,No
T000200,C021328,Login,Medium,0,No
T000201,C045313,Cancellation,High,3,No
T000202,C000650,Cancellation,High,10,No
T000203,C004066,Bug,Low,11,No
T000204,C047012,Bug,Low,12,No
T000205,C046283,Feature,Low,9,Yes
T000206,C008260,Cancellation,Medium,11,Yes
T000207,C009047,Feature,High,3,No
T000208,C016851,Login,High,13,No
T000209,C047251,Bug,Medium,2,No
T000210,C028390,Bug,Low,1,No
T000211,C040082,Billing,High,1,No
T000212,C045835,Billing,High,5,No
T000213,C013335,Cancellation,Medium,12,No
T000214,C006963,Login,Medium,5,Yes
T000215,C028222,Feature,Low,9,No
T000216,C009144,Feature,Medium,8,Yes
T000217,C019192,Login,High,5,No
T000218,C005697,Login,High,2,No
T000219,C015948,Cancellation,Low,1,Yes
T000220,C038736,Feature,High,6,No
T000221,C040039,Login,Low,9,Yes
T000222,C037951,Feature,High,15,Yes
T000223,C026820,Bug,Medium,10,Yes
T000224,C017283,Login,High,1,Yes
T000225,C031230,Billing,High,8,Yes
T000226,C020388,Login,Low,2,Yes
T000227,C038416,Billing,Medium,3,No
T000228,C015486,Login,High,4,Yes
T000229,C023757,Feature,High,13,No
T000230,C002506,Login,Low,4,Yes
T000231,C029071,Bug,Medium,14,Yes
T000232,C030400,Bug,High,13,No
T000233,C008377,Cancellation,Medium,11,No
T000234,C049849,Login,Low,12,No
T000235,C025209,Login,High,4,No
T000236,C027176,Billing,High,11,Yes
T000237,C019684,Cancellation,High,5,No
T000238,C045321,Feature,High,2,No
T000239,C030588,Billing,Medium,10,No
T000240,C009669,Billing,High,4,No
T000241,C006467,Cancellation,High,11,Yes
T000242,C023687,Feature,High,11,No
T000243,C012811,Feature,High,2,No
T000244,C039893,Feature,Medium,5,No
T000245,C003672,Cancellation,Medium,2,Yes
T000246,C009603,Feature,Medium,10,Yes
T000247,C048531,Feature,High,3,Yes
T000248,C033422,Cancellation,Medium,0,Yes
T000249,C004533,Billing,Low,0,Yes
T000250,C021990,Bug,High,4,No
T000251,C008627,Feature,Low,10,Yes
T000252,C012290,Login,Low,6,No
T000253,C023998,Cancellation,High,10,Yes
T000254,C024739,Bug,Medium,5,No
T000255,C005493,Cancellation,High,10,Yes
T000256,C017588,Login,High,13,No
T000257,C023520,Feature,Medium,10,Yes
T000258,C003622,Feature,High,1,Yes
T000259,C017500,Bug,Low,15,No
T000260,C032987,Bug,Low,13,No
T000261,C022210,Feature,Medium,11,No
T000262,C032504,Feature,High,14,No
T000263,C022953,Bug,High,13,No
T000264,C042972,Cancellation,Low,15,No
T000265,C034927,Cancellation,Low,1,Yes
T000266,C043604,Billing,High,10,No
T000267,C000628,Bug,Low,1,No
T000268,C019909,Billing,High,12,Yes
T000269,C016600,Feature,Medium,1,No
T000270,C007861,Bug,Medium,12,Yes
T000271,C002441,Feature,Medium,1,No
T000272,C042047,Billing,Medium,0,Yes
T000273,C032344,Login,Medium,13,No
T000274,C034100,Billing,Low,1,No
T000275,C001757,Feature,Low,5,Yes
T000276,C005526,Billing,Low,6,No
T000277,C038523,Cancellation,Low,5,Yes
T000278,C041354,Bug,Medium,1,No
T000279,C037986,Bug,High,4,Yes
T000280,C016480,Billing,Medium,8,Yes
T000281,C008062,Cancellation,High,10,No
T000282,C020474,Login,High,15,Yes
T000283,C046520,Cancellation,High,2,No
T000284,C013443,Bug,Low,12,Yes
T000285,C001370,Bug,Medium,1,No
T000286,C016300,Feature,High,13,Yes
T000287,C031731,Bug,Medium,7,No
T000288,C014251,Cancellation,High,11,No
T000289,C003312,Bug,Medium,13,Yes
T000290,C036857,Bug,Low,12,No
T000291,C035229,Bug,High,12,No
T000292,C025105,Cancellation,High,7,Yes
T000293,C008569,Feature,Low,2,Yes
T000294,C035620,Login,Low,10,Yes
T000295,C006901,Feature,Low,13,No
T000296,C012625,Feature,Medium,5,Yes
T000297,C047649,Cancellation,High,14,Yes
T000298,C049046,Feature,Low,8,No
T000299,C033860,Cancellation,High,13,Yes
T000300,C045922,Bug,Medium,5,Yes
T000301,C035219,Feature,High,10,Yes
T000302,C009653,Login,Medium,4,No
T000303,C006571,Login,Medium,5,No
T000304,C002253,Cancellation,High,10,No
T000305,C019307,Bug,Medium,14,Yes
T000306,C047465,Bug,Medium,14,Yes
T000307,C006524,Cancellation,Medium,2,Yes
T000308,C016770,Feature,Medium,2,Yes
T000309,C024489,Billing,Low,4,No
T000310,C033422,Billing,High,6,Yes
T000311,C044168,Login,Low,4,Yes
T000312,C040824,Bug,Medium,14,No
T000313,C042485,Cancellation,Medium,6,No
T000314,C028790,Feature,Low,7,Yes
T000315,C038926,Bug,Low,13,Yes
T000316,C044871,Billing,Medium,9,No
T000317,C036358,Feature,High,3,No
T000318,C018718,Bug,High,3,No
T000319,C006661,Feature,Medium,14,Yes
T000320,C045250,Bug,Medium,12,No
T000321,C009838,Billing,Medium,11,Yes
T000322,C016580,Feature,High,13,No
T000323,C022851,Login,High,4,No
T000324,C008269,Billing,Low,11,No
T000325,C033356,Cancellation,High,6,Yes
T000326,C049880,Login,Medium,6,Yes
T000327,C013075,Cancellation,Low,14,No
T000328,C001775,Feature,High,7,No
T000329,C038238,Feature,Low,7,Yes
T000330,C013682,Feature,Low,14,No
T000331,C040048,Cancellation,High,11,Yes
T000332,C049003,Login,Low,5,Yes
T000333,C047196,Cancellation,Medium,2,No
T000334,C047289,Billing,Low,14,Yes
T000335,C000253,Billing,Medium,3,Yes
T000336,C017705,Bug,Low,10,No
T000337,C028471,Feature,Low,9,No
T000338,C011200,Billing,Medium,14,No
T000339,C048147,Cancellation,Low,11,No
T000340,C014326,Login,Medium,4,No
T000341,C014649,Feature,High,10,No
T000342,C018539,Feature,Medium,3,Yes
T000343,C049120,Feature,Low,4,No
T000344,C004405,Bug,High,8,Yes
T000345,C047354,Billing,Medium,0,Yes
T000346,C023489,Billing,Medium,14,No
T000347,C020801,Cancellation,Low,0,No
T000348,C029898,Cancellation,High,2,Yes
T000349,C010723,Login,Medium,1,No
T000350,C006763,Login,High,15,No
T000351,C041928,Billing,High,15,No
T000352,C025507,Feature,Medium,10,No
T000353,C010816,Feature,Medium,12,No
T000354,C041839,Billing,Low,5,Yes
T000355,C001110,Login,Low,7,Yes
T000356,C022023,Feature,High,13,Yes
T000357,C049568,Billing,Low,6,No
T000358,C035978,Login,Low,11,No
T000359,C027041,Login,High,7,Yes
T000360,C032577,Login,Medium,13,No
T000361,C020951,Bug,Low,15,Yes
T000362,C046534,Feature,Low,2,Yes
T000363,C029324,Login,High,2,No
T000364,C049693,Login,High,1,Yes
T000365,C032791,Cancellation,Low,2,No
T000366,C004100,Cancellation,Low,4,Yes
T000367,C044913,Bug,High,14,Yes
T000368,C011447,Billing,Low,0,No
T000369,C039100,Cancellation,Low,7,Yes
T000370,C012945,Cancellation,Medium,3,Yes
T000371,C021978,Bug,Medium,7,No
T000372,C003450,Cancellation,Low,7,Yes
T000373,C007844,Login,High,2,Yes
T000374,C031565,Cancellation,High,2,Yes
T000375,C031489,Billing,High,12,No
T000376,C012924,Bug,High,15,No
T000377,C037957,Cancellation,Medium,15,No
T000378,C039742,Billing,Medium,11,Yes
T000379,C007416,Login,Medium,2,Yes
T000380,C035771,Billing,Low,2,No
T000381,C040238,Login,Low,3,No
T000382,C006474,Bug,Low,6,Yes
T000383,C001337,Billing,Low,2,No
T000384,C038445,Cancellation,Low,2,No
T000385,C007304,Feature,High,14,No
T000386,C021162,Bug,High,12,Yes
T000387,C043827,Billing,Medium,6,Yes
T000388,C037515,Billing,Low,8,Yes
T000389,C003597,Login,Low,0,No
T000390,C029054,Billing,High,7,Yes
T000391,C040631,Login,Medium,0,Yes
T000392,C035802,Billing,Medium,10,No
T000393,C034329,Bug,Low,9,No
T000394,C028648,Login,Low,15,Yes
T000395,C001663,Bug,Medium,2,Yes
T000396,C031482,Feature,Low,7,No
T000397,C000122,Cancellation,High,11,No
T000398,C047607,Feature,High,11,Yes
T000399,C022651,Cancellation,High,10,No
T000400,C041328,Feature,Low,4,Yes
T000401,C049625,Cancellation,High,0,Yes
T000402,C018406,Cancellation,Low,6,No
T000403,C017556,Login,Low,0,No
T000404,C029022,Login,Medium,3,Yes
T000405,C032057,Feature,Low,9,No
T000406,C007043,Login,Low,14,Yes
T000407,C029562,Billing,Medium,7,Yes
T000408,C042604,Bug,Low,11,Yes
T000409,C020956,Billing,Medium,3,Yes
T000410,C017784,Bug,Medium,5,Yes
T000411,C047262,Cancellation,High,14,No
T000412,C039579,Feature,High,8,No
T000413,C015826,Cancellation,Low,4,No
T000414,C036456,Billing,Low,4,No
T000415,C040430,Cancellation,Medium,1,No
T000416,C018544,Cancellation,Medium,14,Yes
T000417,C016483,Login,Medium,8,No
T000418,C036748,Cancellation,High,12,Yes
T000419,C004557,Bug,High,13,No
T000420,C014837,Cancellation,Low,1,No
T000421,C012524,Cancellation,Medium,5,Yes
T000422,C010162,Login,Medium,7,Yes
T000423,C038681,Cancellation,Low,5,Yes
T000424,C040697,Login,Low,7,Yes
T000425,C018620,Bug,High,6,Yes
T000426,C013560,Cancellation,Medium,3,Yes
T000427,C000109,Feature,High,7,Yes
T000428,C020097,Feature,Medium,5,No
T000429,C011536,Billing,High,4,No
T000430,C009202,Feature,High,5,No
T000431,C009027,Feature,Medium,6,Yes
T000432,C025023,Login,High,4,No
T000433,C032781,Feature,High,2,No
T000434,C024804,Login,Low,13,No
T000435,C002124,Login,Low,13,Yes
T000436,C019347,Cancellation,Medium,7,Yes
T000437,C046109,Login,Medium,0,Yes
T000438,C025486,Cancellation,Medium,0,No
T000439,C033690,Login,Low,15,No
T000440,C021993,Feature,Medium,13,Yes
T000441,C016098,Login,Low,1,No
T000442,C000621,Login,Low,12,No
T000443,C034589,Feature,Medium,6,No
T000444,C002932,Cancellation,Medium,5,No
T000445,C017255,Cancellation,Low,0,Yes
T000446,C044211,Feature,High,2,No
T000447,C012350,Cancellation,Medium,12,Yes
T000448,C049828,Billing,High,8,No
T000449,C027921,Login,High,13,Yes
T000450,C010152,Billing,Medium,3,No
T000451,C008592,Bug,High,0,Yes
T000452,C045418,Feature,Medium,15,No
T000453,C013920,Feature,High,15,Yes
T000454,C000894,Login,Low,13,No
T000455,C029373,Bug,Medium,12,No
T000456,C015616,Billing,High,2,No
T000457,C046008,Billing,High,3,No
T000458,C026697,Billing,High,12,Yes
T000459,C004738,Login,Low,14,Yes
T000460,C036803,Bug,Low,10,Yes
T000461,C023001,Cancellation,Low,8,Yes
T000462,C029839,Login,Low,1,No
T000463,C012552,Login,Medium,15,No
T000464,C012254,Bug,Low,8,No
T000465,C007325,Bug,High,10,No
T000466,C023080,Login,Medium,6,No
T000467,C037482,Login,High,4,No
T000468,C021081,Billing,Low,15,Yes
T000469,C037520,Bug,Low,0,Yes
T000470,C040658,Billing,High,9,No
T000471,C019570,Bug,High,12,No
T000472,C026299,Bug,High,12,Yes
T000473,C000260,Cancellation,Medium,0,Yes
T000474,C013693,Bug,Low,13,No
T000475,C020900,Cancellation,Low,13,Yes
T000476,C007712,Cancellation,High,13,Yes
T000477,C026810,Login,High,7,Yes
T000478,C002546,Bug,Medium,6,Yes
T000479,C039898,Login,Low,11,No
T000480,C016300,Login,Low,3,No
T000481,C000701,Cancellation,Medium,8,Yes
T000482,C012836,Feature,High,10,No
T000483,C033953,Cancellation,Medium,0,Yes
T000484,C019089,Login,High,1,Yes
T000485,C032928,Login,High,13,No
T000486,C047425,Billing,Medium,2,Yes
T000487,C002367,Bug,High,8,No
T000488,C033061,Cancellation,High,0,No
T000489,C008681,Bug,Low,13,Yes
T000490,C010704,Bug,Low,9,Yes
T000491,C033034,Bug,Low,15,No
T000492,C022236,Bug,High,4,No
T000493,C002406,Feature,Low,2,No
T000494,C012269,Cancellation,Low,4,No
T000495,C009416,Feature,Low,6,Yes
T000496,C000508,Feature,Low,0,No
T000497,C043437,Billing,Medium,6,Yes
T000498,C002538,Billing,Medium,13,Yes
T000499,C011858,Feature,Low,3,No
T000500,C011480,Cancellation,Low,11,Yes
T000501,C031592,Cancellation,Low,15,No
T000502,C025384,Bug,High,5,No
T000503,C001769,Billing,Low,5,No
T000504,C003979,Bug,High,6,Yes
T000505,C032395,Billing,High,9,Yes
T000506,C034703,Cancellation,Medium,9,Yes
T000507,C011816,Feature,Medium,5,Yes
T000508,C032247,Bug,High,14,Yes
T000509,C025399,Billing,Low,14,Yes
T000510,C022719,Login,Medium,4,Yes
T000511,C015615,Login,Low,15,No
T000512,C004680,Bug,Low,12,No
T000513,C004204,Billing,Low,10,Yes
T000514,C020184,Billing,High,11,No
T000515,C021683,Billing,High,7,Yes
T000516,C028969,Cancellation,Low,2,No
T000517,C020252,Bug,Medium,6,No
T000518,C003185,Feature,High,12,No
T000519,C010664,Billing,High,10,Yes
T000520,C006242,Billing,High,10,Yes
T000521,C049755,Billing,High,3,Yes
T000522,C021721,Login,Low,12,Yes
T000523,C033084,Feature,High,6,Yes
T000524,C001225,Cancellation,High,11,Yes
T000525,C004645,Login,Medium,5,Yes
T000526,C043720,Login,Low,6,Yes
T000527,C004256,Feature,High,6,No
T000528,C048100,Login,Medium,13,Yes
T000529,C032367,Bug,Medium,0,Yes
T000530,C012332,Feature,Medium,0,No
T000531,C037186,Cancellation,High,6,No
T000532,C031825,Bug,Medium,8,Yes
T000533,C048577,Login,High,1,Yes
T000534,C047022,Cancellation,Medium,15,No
T000535,C013329,Feature,Medium,7,No
T000536,C026410,Login,High,1,No
T000537,C002484,Bug,Medium,0,Yes
T000538,C000524,Bug,Low,14,Yes
T000539,C021357,Login,Low,5,Yes
T000540,C018864,Bug,Low,6,No
T000541,C013479,Login,Medium,8,Yes
T000542,C015176,Feature,Medium,11,No
T000543,C016183,Feature,High,8,Yes
T000544,C038191,Cancellation,Medium,3,No
T000545,C036783,Billing,Low,15,No
T000546,C029100,Billing,High,2,Yes
T000547,C013478,Billing,High,1,Yes
T000548,C029727,Cancellation,Low,12,No
T000549,C024394,Cancellation,Medium,2,Yes
T000550,C031418,Feature,Low,1,Yes
T000551,C040795,Cancellation,Medium,15,Yes
T000552,C028852,Billing,High,5,Yes
T000553,C045096,Cancellation,Low,0,Yes
T000554,C031539,Billing,Low,9,Yes
T000555,C013384,Bug,Low,7,Yes
T000556,C024120,Cancellation,Low,10,Yes
T000557,C011070,Feature,Medium,10,Yes
T000558,C016445,Billing,Low,8,Yes
T000559,C012097,Bug,High,15,No
T000560,C025448,Feature,Medium,9,No
T000561,C030049,Login,Medium,10,Yes
T000562,C007153,Bug,Low,0,Yes
T000563,C033660,Feature,Low,12,No
T000564,C034040,Billing,Low,8,No
T000565,C013706,Bug,High,9,Yes
T000566,C046608,Bug,Low,4,Yes
T000567,C014290,Cancellation,Low,8,No
T000568,C026191,Feature,High,13,Yes
T000569,C024820,Billing,Low,8,No
T000570,C020220,Bug,High,3,Yes
T000571,C008962,Cancellation,High,8,Yes
T000572,C020822,Login,High,7,Yes
T000573,C003058,Feature,Medium,10,Yes
T000574,C005982,Feature,Medium,14,No
T000575,C043313,Billing,High,7,No
T000576,C047470,Billing,High,8,No
T000577,C038216,Feature,Low,10,Yes
T000578,C015813,Feature,Medium,4,Yes
T000579,C015280,Billing,High,15,Yes
T000580,C037539,Bug,Low,7,No
T000581,C039563,Bug,High,9,No
T000582,C013613,Billing,Medium,15,Yes
T000583,C049313,Login,Low,8,Yes
T000584,C023368,Login,Low,14,Yes
T000585,C033639,Cancellation,High,8,No
T000586,C042538,Billing,Medium,7,No
T000587,C002979,Cancellation,High,13,Yes
T000588,C045286,Bug,Medium,13,No
T000589,C032137,Billing,Medium,9,Yes
T000590,C031467,Bug,High,3,No
T000591,C047508,Cancellation,Low,1,No
T000592,C013584,Login,High,12,No
T000593,C005734,Feature,Low,6,No
T000594,C010312,Billing,Low,5,No
T000595,C044635,Billing,Low,3,No
T000596,C010087,Billing,Low,11,Yes
T000597,C012941,Login,Medium,14,No
T000598,C037853,Login,Low,2,Yes
T000599,C029198,Bug,Low,10,No
T000600,C004649,Cancellation,High,13,No
T000601,C030100,Billing,Medium,8,Yes
T000602,C038699,Bug,Medium,9,Yes
T000603,C010715,Cancellation,High,4,No
T000604,C010259,Billing,High,14,Yes
T000605,C018932,Billing,Medium,8,No
T000606,C003720,Billing,Medium,5,Yes
T000607,C040711,Cancellation,Medium,10,Yes
T000608,C004616,Cancellation,High,14,Yes
T000609,C039174,Cancellation,Low,13,Yes
T000610,C013005,Feature,High,14,Yes
T000611,C004287,Login,High,13,Yes
T000612,C003820,Cancellation,High,13,Yes
T000613,C024710,Login,Medium,15,Yes
T000614,C018896,Bug,High,6,Yes
T000615,C025522,Login,Low,4,Yes
T000616,C017972,Cancellation,Low,10,Yes
T000617,C040648,Login,High,1,No
T000618,C022415,Bug,High,12,No
T000619,C033824,Login,High,4,Yes
T000620,C048037,Billing,Medium,13,Yes
T000621,C040355,Login,High,2,Yes
T000622,C025060,Billing,High,5,Yes
T000623,C008413,Bug,High,15,Yes
T000624,C009893,Bug,Medium,6,Yes
T000625,C000411,Bug,Low,12,Yes
T000626,C046654,Feature,High,4,No
T000627,C046403,Cancellation,Low,9,No
T000628,C041428,Feature,Medium,9,No
T000629,C000990,Bug,High,14,Yes
T000630,C036083,Cancellation,High,0,No
T000631,C038046,Login,Low,13,Yes
T000632,C048152,Cancellation,Low,4,No
T000633,C029018,Bug,High,11,Yes
T000634,C013876,Cancellation,Medium,10,Yes
T000635,C021895,Bug,Medium,10,No
T000636,C029223,Login,High,6,Yes
T000637,C013569,Login,High,10,Yes
T000638,C015884,Cancellation,Medium,9,No
T000639,C033570,Login,High,13,No
T000640,C026793,Feature,High,2,No
T000641,C028017,Cancellation,High,10,Yes
T000642,C004396,Bug,Medium,12,No
T000643,C005106,Login,High,13,No
T000644,C036416,Cancellation,Low,15,No
T000645,C049104,Bug,Low,8,No
T000646,C014028,Bug,Low,14,Yes
T000647,C006352,Feature,Low,11,Yes
T000648,C028063,Cancellation,Medium,10,No
T000649,C042332,Feature,Medium,8,No
T000650,C002890,Cancellation,Medium,14,Yes
T000651,C027498,Bug,Medium,9,Yes
T000652,C027381,Bug,High,14,Yes
T000653,C030249,Billing,Low,13,Yes
T000654,C012802,Cancellation,Low,12,No
T000655,C035283,Bug,High,6,No
T000656,C013374,Login,Medium,8,Yes
T000657,C014726,Feature,Medium,4,No
T000658,C011950,Login,Medium,8,Yes
T000659,C022451,Billing,Low,8,Yes
T000660,C040748,Bug,Medium,12,No
T000661,C043273,Feature,High,5,No
T000662,C042600,Cancellation,Medium,13,No
T000663,C011800,Feature,Medium,13,No
T000664,C030220,Feature,Medium,11,No
T000665,C035445,Login,Low,8,Yes
T000666,C001290,Cancellation,Medium,3,No
T000667,C020862,Bug,High,13,Yes
T000668,C032713,Bug,Medium,4,No
T000669,C047690,Billing,Low,1,No
T000670,C044501,Cancellation,Low,6,Yes
T000671,C026274,Feature,Low,3,No
T000672,C018062,Cancellation,High,6,No
T000673,C002333,Cancellation,Medium,7,No
T000674,C007663,Billing,Medium,1,No
T000675,C001087,Feature,High,2,Yes
T000676,C044241,Cancellation,High,11,No
T000677,C024676,Cancellation,Medium,8,No
T000678,C007107,Billing,High,2,Yes
T000679,C034697,Billing,Low,3,Yes
T000680,C047977,Login,Medium,11,Yes
T000681,C038854,Cancellation,Medium,6,No
T000682,C042643,Bug,Medium,15,No
T000683,C008528,Bug,Low,9,No
T000684,C037431,Bug,High,13,No
T000685,C024746,Billing,Medium,9,No
T000686,C028280,Login,Low,14,Yes
T000687,C010241,Login,High,12,No
T000688,C023224,Cancellation,Medium,6,No
T000689,C036515,Cancellation,High,4,Yes
