SubscriptionID,CustomerID,StartDate,RenewalDate,ContractType,DiscountPct,Status
S000122,C000122,2025-03-08,2025-05-07,Monthly,10,Cancelled
S000123,C000123,2025-04-04,2025-08-02,Monthly,20,Active
S000124,C000124,2022-11-26,2023-03-26,Annual,20,Cancelled
S000125,C000125,2021-10-24,2022-07-21,Monthly,5,Active
S000126,C000126,2022-10-03,2023-05-31,Annual,10,Expired
S000127,C000127,2022-05-09,2023-03-05,Monthly,20,Expired
S000128,C000128,2023-02-28,2023-12-25,Annual,20,Expired
S000129,C000129,2024-08-09,2024-11-07,Monthly,5,Expired
S000130,C000130,2022-06-14,2023-04-10,Monthly,0,Cancelled
S000131,C000131,2023-01-16,2023-03-17,Monthly,5,Expired
S000132,C000132,2022-04-14,2022-10-11,Annual,10,Cancelled
S000133,C000133,2022-04-29,2022-11-25,Annual,10,Expired
S000134,C000134,2023-06-26,2024-01-22,Monthly,15,Active
S000135,C000135,2024-03-23,2024-08-20,Annual,10,Cancelled
S000136,C000136,2022-07-03,2022-09-01,Monthly,10,Cancelled
S000137,C000137,2025-02-15,2025-05-16,Monthly,15,Cancelled
S000138,C000138,2024-11-09,2024-12-09,Monthly,0,Cancelled
S000139,C000139,2021-07-16,2022-06-11,Annual,0,Cancelled
S000140,C000140,2024-09-30,2025-08-26,Monthly,15,Expired
S000141,C000141,2025-02-15,2025-03-17,Monthly,20,Cancelled
S000142,C000142,2024-03-04,2024-08-01,Monthly,0,Active
S000143,C000143,2021-05-22,2022-01-17,Annual,5,Expired
S000144,C000144,2022-02-28,2022-03-30,Annual,15,Expired
S000145,C000145,2024-10-13,2025-07-10,Annual,15,Active
S000146,C000146,2025-08-01,2026-06-27,Monthly,20,Expired
S000147,C000147,2022-07-11,2023-02-06,Annual,15,Cancelled
S000148,C000148,2024-12-27,2025-10-23,Monthly,15,Expired
S000149,C000149,2021-01-05,2021-09-02,Monthly,5,Expired
S000150,C000150,2021-11-07,2022-04-06,Monthly,10,Cancelled
S000151,C000151,2021-09-18,2022-06-15,Monthly,20,Cancelled
S000152,C000152,2021-09-24,2022-09-19,Annual,20,Active
S000153,C000153,2025-08-19,2026-03-17,Annual,5,Active
S000154,C000154,2025-03-10,2025-09-06,Monthly,0,Active
S000155,C000155,2024-04-30,2024-07-29,Annual,20,Expired
S000156,C000156,2024-07-12,2025-02-07,Annual,10,Active
S000157,C000157,2024-05-29,2024-09-26,Monthly,0,Active
S000158,C000158,2025-09-24,2026-02-21,Annual,10,Cancelled
S000159,C000159,2021-12-13,2022-04-12,Annual,15,Expired
S000160,C000160,2021-01-23,2021-07-22,Monthly,0,Active
S000161,C000161,2025-05-23,2025-06-22,Monthly,20,Expired
S000162,C000162,2024-10-11,2025-08-07,Monthly,0,Cancelled
S000163,C000163,2023-07-11,2024-03-07,Annual,20,Expired
S000164,C000164,2025-10-31,2026-06-28,Monthly,15,Cancelled
S000165,C000165,2025-09-03,2026-01-31,Monthly,15,Expired
S000166,C000166,2021-09-12,2021-10-12,Monthly,0,Active
S000167,C000167,2021-09-02,2022-06-29,Monthly,10,Cancelled
S000168,C000168,2024-12-20,2025-06-18,Annual,10,Active
S000169,C000169,2024-11-15,2024-12-15,Annual,20,Active
S000170,C000170,2025-04-28,2025-12-24,Monthly,20,Expired
S000171,C000171,2021-11-30,2022-03-30,Annual,20,Expired
S000172,C000172,2023-10-30,2024-06-26,Monthly,10,Active
S000173,C000173,2021-04-30,2022-03-26,Monthly,10,Active
S000174,C000174,2023-02-18,2023-06-18,Monthly,0,Cancelled
S000175,C000175,2025-07-26,2026-04-22,Annual,15,Expired
S000176,C000176,2022-07-29,2022-09-27,Annual,10,Cancelled
S000177,C000177,2024-07-26,2024-11-23,Annual,15,Expired
S000178,C000178,2021-10-08,2022-05-06,Monthly,5,Cancelled
S000179,C000179,2022-05-26,2023-01-21,Monthly,15,Active
S000180,C000180,2025-07-12,2025-12-09,Annual,15,Expired
S000181,C000181,2025-04-11,2025-12-07,Annual,15,Cancelled
S000182,C000182,2025-07-24,2026-03-21,Monthly,15,Cancelled
S000183,C000183,2024-07-29,2025-05-25,Annual,5,Cancelled
S000184,C000184,2024-10-19,2025-01-17,Annual,15,Cancelled
S000185,C000185,2023-04-07,2023-11-03,Monthly,0,Cancelled
S000186,C000186,2022-03-18,2023-02-11,Monthly,10,Expired
S000187,C000187,2022-11-13,2023-04-12,Monthly,15,Expired
S000188,C000188,2021-03-15,2022-02-08,Monthly,15,Active
S000189,C000189,2022-01-18,2022-05-18,Monthly,10,Cancelled
S000190,C000190,2023-08-13,2024-02-09,Monthly,10,Cancelled
S000191,C000191,2022-07-23,2022-09-21,Annual,15,Expired
S000192,C000192,2024-02-21,2024-08-19,Annual,15,Expired
S000193,C000193,2024-03-13,2024-11-08,Annual,5,Active
S000194,C000194,2021-03-18,2021-04-17,Monthly,0,Cancelled
S000195,C000195,2025-07-14,2026-01-10,Annual,0,Expired
S000196,C000196,2023-10-18,2024-08-13,Monthly,0,Active
S000197,C000197,2022-10-26,2023-03-25,Annual,5,Active
S000198,C000198,2021-04-05,2021-11-01,Annual,0,Expired
S000199,C000199,2025-08-19,2026-05-16,Monthly,0,Cancelled
S000200,C000200,2023-04-14,2023-12-10,Monthly,0,Expired
S000201,C000201,2023-09-23,2023-11-22,Annual,5,Active
S000202,C000202,2024-08-15,2025-05-12,Monthly,5,Expired
S000203,C000203,2021-10-22,2022-08-18,Monthly,20,Cancelled
S000204,C000204,2022-12-25,2023-05-24,Monthly,5,Expired
S000205,C000205,2025-02-05,2025-03-07,Annual,0,Active
S000206,C000206,2025-09-13,2026-07-10,Monthly,5,Expired
S000207,C000207,2025-06-18,2025-11-15,Annual,10,Cancelled
S000208,C000208,2022-11-23,2023-07-21,Annual,20,Cancelled
S000209,C000209,2023-09-01,2024-04-28,Monthly,20,Expired
S000210,C000210,2022-10-20,2023-10-15,Monthly,10,Cancelled
S000211,C000211,2023-11-16,2024-07-13,Monthly,10,Active
S000212,C000212,2022-12-24,2023-04-23,Monthly,10,Active
S000213,C000213,2022-07-17,2022-12-14,Monthly,10,Expired
S000214,C000214,2021-10-18,2022-04-16,Annual,5,Active
S000215,C000215,2021-12-24,2022-04-23,Annual,20,Expired
S000216,C000216,2022-12-01,2023-03-01,Monthly,20,Active
S000217,C000217,2023-06-04,2024-02-29,Annual,5,Active
S000218,C000218,2021-07-14,2021-11-11,Monthly,15,Expired
S000219,C000219,2024-07-29,2024-09-27,Monthly,20,Cancelled
S000220,C000220,2021-09-01,2022-05-29,Annual,15,Cancelled
S000221,C000221,2024-07-16,2024-09-14,Annual,0,Cancelled
S000222,C000222,2021-06-24,2022-06-19,Monthly,15,Active
S000223,C000223,2021-03-28,2021-05-27,Annual,5,Cancelled
S000224,C000224,2022-05-25,2022-11-21,Annual,20,Expired
S000225,C000225,2024-03-09,2024-06-07,Monthly,10,Expired
S000226,C000226,2024-08-01,2024-09-30,Monthly,20,Cancelled
S000227,C000227,2024-12-15,2025-08-12,Monthly,15,Cancelled
S000228,C000228,2024-02-29,2025-02-23,Annual,0,Active
S000229,C000229,2022-09-15,2023-03-14,Annual,10,Active
S000230,C000230,2024-05-20,2025-01-15,Monthly,0,Active
S000231,C000231,2025-11-26,2026-07-24,Annual,15,Active
S000232,C000232,2021-04-03,2021-08-31,Monthly,15,Expired
S000233,C000233,2025-03-24,2025-08-21,Annual,20,Cancelled
S000234,C000234,2023-05-23,2024-04-17,Annual,20,Cancelled
S000235,C000235,2024-09-17,2025-06-14,Annual,0,Active
S000236,C000236,2021-09-25,2022-07-22,Annual,0,Active
S000237,C000237,2023-04-14,2023-08-12,Monthly,20,Expired
S000238,C000238,2025-07-12,2026-06-07,Annual,10,Expired
S000239,C000239,2023-04-22,2023-09-19,Monthly,5,Cancelled
S000240,C000240,2022-07-04,2022-10-02,Monthly,20,Active
S000241,C000241,2025-06-08,2026-06-03,Annual,10,Cancelled
S000242,C000242,2022-06-14,2022-08-13,Monthly,0,Active
S000243,C000243,2021-04-03,2021-08-01,Annual,0,Active
S000244,C000244,2021-11-03,2022-09-29,Annual,15,Active
S000245,C000245,2021-11-05,2022-06-03,Annual,15,Expired
S000246,C000246,2021-11-21,2022-01-20,Monthly,0,Active
S000247,C000247,2025-09-04,2026-01-02,Annual,10,Active
S000248,C000248,2025-06-18,2026-02-13,Annual,10,Expired
S000249,C000249,2025-11-21,2026-04-20,Annual,5,Cancelled
S000250,C000250,2024-09-12,2025-04-10,Monthly,15,Active
S000251,C000251,2021-11-06,2022-03-06,Annual,0,Active
S000252,C000252,2023-01-12,2023-05-12,Monthly,0,Cancelled
S000253,C000253,2022-04-07,2023-03-03,Annual,15,Cancelled
S000254,C000254,2024-11-19,2025-07-17,Monthly,15,Cancelled
S000255,C000255,2024-10-16,2025-10-11,Annual,5,Active
S000256,C000256,2025-07-20,2025-09-18,Annual,5,Active
S000257,C000257,2021-01-05,2021-04-05,Monthly,0,Active
S000258,C000258,2021-09-04,2021-11-03,Annual,20,Cancelled
S000259,C000259,2025-04-22,2025-07-21,Monthly,20,Expired
S000260,C000260,2024-02-13,2024-10-10,Monthly,10,Cancelled
S000261,C000261,2021-09-27,2022-06-24,Monthly,15,Active
S000262,C000262,2021-02-05,2021-04-06,Monthly,10,Expired
S000263,C000263,2021-07-22,2022-01-18,Annual,0,Expired
S000264,C000264,2022-03-11,2022-05-10,Monthly,20,Expired
S000265,C000265,2024-02-13,2025-01-08,Annual,0,Active
S000266,C000266,2023-05-02,2023-11-28,Monthly,0,Cancelled
S000267,C000267,2024-03-25,2024-09-21,Annual,10,Cancelled
S000268,C000268,2021-08-02,2021-12-30,Annual,15,Expired
S000269,C000269,2025-09-11,2026-02-08,Annual,10,Cancelled
S000270,C000270,2023-09-14,2023-11-13,Annual,20,Expired
S000271,C000271,2025-04-13,2025-08-11,Annual,0,Cancelled
S000272,C000272,2024-05-15,2024-11-11,Monthly,15,Cancelled
S000273,C000273,2023-09-22,2023-11-21,Annual,20,Expired
S000274,C000274,2023-09-02,2024-04-29,Annual,5,Cancelled
S000275,C000275,2023-02-27,2023-03-29,Monthly,0,Expired
S000276,C000276,2023-06-14,2024-03-10,Monthly,0,Active
S000277,C000277,2024-04-11,2025-03-07,Monthly,0,Expired
S000278,C000278,2023-07-28,2023-09-26,Monthly,15,Active
S000279,C000279,2022-01-29,2022-12-25,Annual,15,Active
S000280,C000280,2024-03-14,2024-04-13,Monthly,0,Active
S000281,C000281,2021-05-09,2021-09-06,Monthly,15,Active
S000282,C000282,2024-08-24,2025-02-20,Monthly,20,Expired
S000283,C000283,2024-08-29,2025-08-24,Annual,20,Expired
S000284,C000284,2021-08-14,2021-11-12,Monthly,0,Expired
S000285,C000285,2022-05-02,2022-11-28,Annual,5,Active
S000286,C000286,2021-08-24,2021-11-22,Annual,10,Active
S000287,C000287,2025-05-03,2025-11-29,Annual,0,Expired
S000288,C000288,2025-08-29,2026-06-25,Monthly,15,Cancelled
S000289,C000289,2021-03-02,2021-10-28,Annual,10,Active
S000290,C000290,2025-03-15,2025-06-13,Annual,10,Active
S000291,C000291,2024-09-17,2025-02-14,Annual,15,Active
S000292,C000292,2024-04-20,2025-04-15,Annual,10,Expired
S000293,C000293,2024-03-26,2024-05-25,Annual,20,Active
S000294,C000294,2024-02-01,2024-10-28,Monthly,15,Cancelled
S000295,C000295,2024-10-04,2025-04-02,Monthly,0,Cancelled
S000296,C000296,2025-10-14,2026-05-12,Annual,10,Active
S000297,C000297,2022-06-29,2022-12-26,Monthly,5,Cancelled
S000298,C000298,2023-03-11,2023-12-06,Annual,5,Cancelled
S000299,C000299,2025-04-15,2025-05-15,Annual,20,Active
S000300,C000300,2021-02-21,2021-09-19,Monthly,5,Cancelled
S000301,C000301,2023-12-04,2024-09-29,Monthly,0,Active
S000302,C000302,2021-10-11,2022-06-08,Monthly,10,Cancelled
S000303,C000303,2025-07-02,2026-05-28,Monthly,0,Active
S000304,C000304,2025-10-14,2026-05-12,Annual,15,Cancelled
S000305,C000305,2021-11-06,2022-05-05,Monthly,5,Expired
S000306,C000306,2024-07-16,2024-11-13,Annual,20,Expired
S000307,C000307,2023-07-13,2024-03-09,Annual,0,Active
S000308,C000308,2021-09-30,2021-10-30,Monthly,15,Active
S000309,C000309,2021-12-15,2022-04-14,Annual,15,Active
S000310,C000310,2023-08-11,2024-02-07,Monthly,20,Cancelled
S000311,C000311,2022-10-24,2023-10-19,Annual,15,Active
S000312,C000312,2024-03-01,2024-10-27,Annual,15,Expired
S000313,C000313,2021-06-27,2022-02-22,Annual,20,Active
S000314,C000314,2023-02-13,2023-12-10,Monthly,10,Active
S000315,C000315,2024-07-12,2024-11-09,Annual,10,Expired
S000316,C000316,2023-08-09,2024-02-05,Annual,15,Cancelled
S000317,C000317,2021-09-25,2022-06-22,Annual,5,Active
S000318,C000318,2024-05-26,2025-03-22,Annual,0,Expired
S000319,C000319,2022-07-28,2023-07-23,Monthly,15,Expired
S000320,C000320,2025-04-20,2025-10-17,Annual,5,Cancelled
S000321,C000321,2023-06-02,2024-01-28,Annual,0,Active
S000322,C000322,2022-03-20,2022-07-18,Annual,0,Active
S000323,C000323,2023-04-16,2023-05-16,Monthly,5,Active
S000324,C000324,2021-02-17,2021-11-14,Monthly,15,Expired
S000325,C000325,2021-11-14,2022-08-11,Annual,15,Expired
S000326,C000326,2025-01-21,2025-05-21,Annual,0,Expired
S000327,C000327,2025-07-29,2026-03-26,Monthly,0,Cancelled
S000328,C000328,2024-08-06,2024-11-04,Monthly,15,Active
S000329,C000329,2023-12-24,2024-05-22,Monthly,15,Active
S000330,C000330,2023-10-06,2024-05-03,Annual,15,Cancelled
S000331,C000331,2022-01-28,2022-11-24,Annual,20,Active
S000332,C000332,2021-02-17,2021-04-18,Monthly,15,Expired
S000333,C000333,2022-08-04,2023-05-31,Annual,0,Cancelled
S000334,C000334,2025-05-21,2025-12-17,Annual,20,Expired
S000335,C000335,2023-02-26,2023-07-26,Monthly,15,Active
S000336,C000336,2023-12-30,2024-01-29,Annual,20,Cancelled
S000337,C000337,2025-07-10,2026-05-06,Monthly,10,Expired
S000338,C000338,2025-03-20,2025-08-17,Monthly,0,Expired
S000339,C000339,2024-10-21,2025-06-18,Monthly,15,Cancelled
S000340,C000340,2022-09-20,2023-04-18,Annual,5,Cancelled
S000341,C000341,2023-12-23,2024-05-21,Monthly,0,Active
S000342,C000342,2025-04-13,2025-07-12,Annual,15,Expired
S000343,C000343,2024-01-07,2024-09-03,Monthly,15,Expired
S000344,C000344,2024-09-10,2025-07-07,Monthly,20,Active
S000345,C000345,2023-12-28,2024-11-22,Annual,5,Active
S000346,C000346,2023-02-28,2023-06-28,Monthly,0,Cancelled
S000347,C000347,2024-02-25,2024-11-21,Monthly,20,Active
S000348,C000348,2024-12-13,2025-10-09,Monthly,5,Cancelled
S000349,C000349,2025-03-23,2025-08-20,Annual,5,Active
S000350,C000350,2021-01-21,2021-11-17,Monthly,15,Expired
S000351,C000351,2021-08-29,2021-10-28,Monthly,0,Cancelled
S000352,C000352,2021-07-15,2022-03-12,Annual,0,Active
S000353,C000353,2023-08-21,2023-09-20,Annual,10,Expired
S000354,C000354,2025-10-07,2026-09-02,Monthly,10,Active
S000355,C000355,2025-09-18,2026-04-16,Monthly,5,Expired
S000356,C000356,2022-02-02,2022-04-03,Monthly,15,Active
S000357,C000357,2021-06-09,2022-05-05,Monthly,15,Cancelled
S000358,C000358,2022-12-28,2023-07-26,Annual,15,Cancelled
S000359,C000359,2023-05-17,2024-02-11,Monthly,15,Expired
S000360,C000360,2021-09-04,2022-03-03,Annual,5,Cancelled
S000361,C000361,2022-12-01,2022-12-31,Annual,15,Active
S000362,C000362,2025-03-12,2025-04-11,Annual,10,Cancelled
S000363,C000363,2023-07-16,2023-08-15,Annual,20,Cancelled
S000364,C000364,2021-08-06,2022-08-01,Monthly,20,Expired
S000365,C000365,2021-03-15,2021-04-14,Monthly,20,Active
S000366,C000366,2022-02-06,2022-05-07,Annual,10,Active
S000367,C000367,2021-02-14,2021-10-12,Annual,0,Cancelled
S000368,C000368,2025-05-05,2025-10-02,Monthly,5,Active
S000369,C000369,2024-07-02,2024-08-01,Monthly,10,Active
S000370,C000370,2022-11-26,2023-02-24,Monthly,20,Cancelled
S000371,C000371,2022-11-20,2023-10-16,Annual,10,Cancelled
S000372,C000372,2021-07-21,2022-05-17,Monthly,10,Active
S000373,C000373,2021-08-01,2021-08-31,Monthly,10,Expired
S000374,C000374,2025-10-04,2025-12-03,Annual,5,Cancelled
S000375,C000375,2024-02-26,2024-08-24,Annual,15,Expired
S000376,C000376,2025-08-04,2026-07-30,Annual,5,Active
S000377,C000377,2024-12-27,2025-05-26,Annual,15,Cancelled
S000378,C000378,2022-08-15,2023-01-12,Monthly,10,Expired
S000379,C000379,2024-11-28,2025-04-27,Annual,10,Cancelled
S000380,C000380,2021-10-03,2021-11-02,Annual,15,Cancelled
S000381,C000381,2022-12-17,2023-12-12,Monthly,0,Active
S000382,C000382,2022-06-30,2022-12-27,Monthly,0,Active
S000383,C000383,2022-10-10,2023-03-09,Monthly,15,Cancelled
S000384,C000384,2021-03-20,2021-06-18,Monthly,20,Cancelled
S000385,C000385,2023-03-11,2024-01-05,Annual,5,Active
S000386,C000386,2021-09-29,2022-04-27,Monthly,0,Cancelled
S000387,C000387,2022-07-28,2022-08-27,Annual,20,Cancelled
S000388,C000388,2021-07-08,2022-06-03,Monthly,10,Expired
S000389,C000389,2021-01-24,2021-03-25,Monthly,10,Expired
S000390,C000390,2021-11-26,2022-04-25,Monthly,5,Cancelled
S000391,C000391,2023-07-13,2023-08-12,Annual,5,Active
S000392,C000392,2021-10-28,2022-03-27,Monthly,10,Active
S000393,C000393,2023-03-25,2023-11-20,Annual,0,Cancelled
S000394,C000394,2022-02-18,2023-02-13,Monthly,0,Cancelled
S000395,C000395,2023-06-15,2024-01-11,Monthly,0,Cancelled
S000396,C000396,2022-04-25,2022-09-22,Annual,15,Cancelled
S000397,C000397,2025-07-02,2026-03-29,Annual,20,Expired
S000398,C000398,2024-01-06,2024-03-06,Monthly,0,Active
S000399,C000399,2021-02-05,2021-08-04,Monthly,5,Cancelled
S000400,C000400,2024-01-08,2024-03-08,Annual,10,Active
S000401,C000401,2021-04-27,2021-07-26,Annual,5,Cancelled
S000402,C000402,2024-04-12,2025-02-06,Monthly,10,Cancelled
S000403,C000403,2025-07-02,2026-04-28,Annual,15,Expired
S000404,C000404,2025-02-02,2025-11-29,Monthly,5,Expired
S000405,C000405,2021-08-27,2021-09-26,Annual,0,Expired
S000406,C000406,2021-07-19,2022-01-15,Annual,0,Expired
S000407,C000407,2023-01-25,2023-11-21,Monthly,0,Expired
S000408,C000408,2025-09-13,2026-02-10,Monthly,20,Active
S000409,C000409,2023-04-04,2023-10-01,Monthly,0,Expired
S000410,C000410,2021-08-01,2022-02-27,Monthly,10,Expired
S000411,C000411,2021-02-02,2021-05-03,Monthly,10,Expired
S000412,C000412,2025-10-02,2026-01-30,Monthly,15,Cancelled
S000413,C000413,2022-09-28,2023-04-26,Monthly,20,Cancelled
S000414,C000414,2021-06-09,2022-06-04,Annual,20,Cancelled
S000415,C000415,2023-09-18,2023-10-18,Monthly,10,Cancelled
S000416,C000416,2023-12-26,2024-07-23,Monthly,5,Active
S000417,C000417,2022-11-06,2023-02-04,Annual,15,Active
S000418,C000418,2024-11-16,2025-09-12,Monthly,0,Cancelled
S000419,C000419,2023-11-17,2024-06-14,Annual,20,Active
S000420,C000420,2023-02-04,2023-07-04,Monthly,10,Active
S000421,C000421,2021-02-01,2021-12-28,Annual,10,Active
S000422,C000422,2021-08-26,2022-05-23,Monthly,10,Expired
S000423,C000423,2021-06-25,2021-12-22,Monthly,10,Cancelled
